Sample	Type	Subtype	Color	Color2	MeanMethylation
BP_venous_blood_S00U0LA1_mature_conventional_dendritic_cell_DiseaseFree	Myeloid	DendriticCell	red	'#A30D0D'	0.826014
BP_venous_blood_S00TWZA1_immature_conventional_dendritic_cell_DiseaseFree	Myeloid	DendriticCell	red	'#A30D0D'	0.823059
BP_venous_blood_S00TYVA1_mature_conventional_dendritic_cell_DiseaseFree	Myeloid	DendriticCell	red	'#A30D0D'	0.820714
BP_venous_blood_S00TV0A1_immature_conventional_dendritic_cell_DiseaseFree	Myeloid	DendriticCell	red	'#A30D0D'	0.818447
BP_venous_blood_S00TU2A1_immature_conventional_dendritic_cell_DiseaseFree	Myeloid	DendriticCell	red	'#A30D0D'	0.806935
BP_venous_blood_S00TXXA1_mature_conventional_dendritic_cell_DiseaseFree	Myeloid	DendriticCell	red	'#A30D0D'	0.800759
BP_venous_blood_S01BFMA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.841588
BP_cord_blood_C005PS51_CD14positive_CD16negative_classical_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.837966
BP_venous_blood_S01BHIA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.838547
BP_venous_blood_S01BEOA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.833164
BP_venous_blood_S01B47A1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.832406
BP_venous_blood_S01E03A1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.816659
BP_venous_blood_S01BBUA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.831501
BP_venous_blood_S01BGKA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.831713
BP_venous_blood_S01BDQA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.831316
BP_venous_blood_S01B55A1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.831176
BP_venous_blood_S00V2DN1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.83311
BP_venous_blood_S01B9YA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.830773
BP_venous_blood_S01BCSA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.830663
BP_venous_blood_S01B63A1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.829716
BP_venous_blood_S01B71A1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.82979
BP_cord_blood_S000RD54_CD14positive_CD16negative_classical_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.825929
BP_venous_blood_C001UYA3bs_CD14positive_CD16negative_classical_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.825657
BP_venous_blood_S01BAWA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.823966
BP_venous_blood_C004SQ51_CD14positive_CD16negative_classical_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.825114
BP_venous_blood_S01MAPA1_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.823023
BP_venous_blood_S00V3BN1_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.844673
BP_venous_blood_S00BS451_alternatively_activated_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.8432
BP_venous_blood_C000S5A1bs_CD14positive_CD16negative_classical_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.816204
BP_venous_blood_C0010KA2bs_CD14positive_CD16negative_classical_monocyte_DiseaseFree	Myeloid	Monocyte	red	'#602E01'	0.798625
BP_cord_blood_S00C1H51_alternatively_activated_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.849246
BP_venous_blood_S00V49N1_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.841895
BP_venous_blood_C005VG51_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.840906
BP_venous_blood_S001MJ51_inflammatory_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.824918
BP_cord_blood_S00E8W51_alternatively_activated_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.817037
BP_cord_blood_S00DVR51_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.819546
BP_venous_blood_S0022I53_inflammatory_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.833313
BP_venous_blood_S001S753_inflammatory_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.830974
BP_venous_blood_S0022I51_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.827624
BP_venous_blood_S001S751_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.826572
BP_venous_blood_S00H6O51_inflammatory_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.825287
BP_venous_blood_S0039051_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.820288
BP_venous_blood_S0062252_alternatively_activated_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.807531
BP_venous_blood_S006VI53_alternatively_activated_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.785585
BP_cord_blood_S0018A52_inflammatory_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.839683
BP_cord_blood_S007SK51_inflammatory_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.839013
BP_venous_blood_S00FTN51_alternatively_activated_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.834561
BP_cord_blood_S00BHQ51_macrophage_DiseaseFree	Myeloid	Macrophage	red	'#A37857'	0.833598
